HD	θLD (mas)	log Teff(K)	log g	[Fe/H] (dex)	E(B-V )	log R/R⊙	log L/L⊙
360	0.906 ±0.015	3.678 ± 0.002	2.62 ± 0.11	−0.12 ± 0.05	0.009	1.036 ± 0.009	1.736 ± 0.019
3750	1.003 ± 0.020	3.660 ± 0.006	2.28 ± 0.32	−0.04 ± 0.07	0.002	1.022 ± 0.010	1.636 ± 0.019
4211	1.100 ± 0.011	3.656 ± 0.007	2.29 ± 0.23	−0.07 ± 0.06	0.004	1.089 ± 0.019	1.757 ± 0.037
5722	0.995 ± 0.019	3.689 ± 0.002	2.60 ± 0.06	−0.17 ± 0.03	0.010	1.038 ± 0.011	1.785 ± 0.021
8651	1.228 ± 0.013	3.674 ± 0.003	2.50 ± 0.16	−0.23 ± 0.03	0.002	1.013 ± 0.007	1.673 ± 0.013
9362	2.301 ± 0.021	3.680 ± 0.002	2.61 ± 0.10	−0.28 ± 0.10	0.000	1.033 ± 0.005	1.737 ± 0.011
10142	0.964 ± 0.006	3.674 ± 0.003	2.44 ± 0.04	−0.15 ± 0.01	0.007	1.024 ± 0.006	1.699 ± 0.013
11977	1.528 ± 0.013	3.693 ± 0.004	2.71 ± 0.27	−0.24 ± 0.05	0.002	1.048 ± 0.006	1.819 ± 0.013
12438	1.091 ± 0.016	3.696 ± 0.006	2.43 ± 0.32	−0.66 ± 0.09	0.004	1.025 ± 0.013	1.787 ± 0.026
13468	0.886 ± 0.010	3.688 ± 0.002	2.65 ± 0.04	−0.13 ± 0.05	0.009	1.048 ± 0.008	1.800 ± 0.015
15220	1.185 ± 0.016	3.651 ± 0.010	2.19 ± 0.04	0.26 ± 0.05	0.007	1.030 ± 0.016	1.615 ± 0.033
15248	0.949 ± 0.019	3.669 ± 0.003	2.45 ± 0.04	0.06 ± 0.05	0.010	1.041 ± 0.010	1.710 ± 0.020
15779	1.185 ± 0.014	3.684 ± 0.002	2.67 ± 0.04	0.00 ± 0.06	0.006	1.024 ± 0.007	1.737 ± 0.015
16815	2.248 ± 0.014	3.672 ± 0.006	2.65 ± 0.10	−0.34 ± 0.02	0.000	1.048 ± 0.005	1.738 ± 0.009
17652	1.835 ± 0.014	3.680 ± 0.001	2.67 ± 0.10	−0.34 ± 0.10	0.001	1.019 ± 0.007	1.710 ± 0.014
17824	1.391 ± 0.015	3.700 ± 0.002	2.95 ± 0.03	0.08 ± 0.06	0.002	0.947 ± 0.009	1.647 ± 0.018
18784	1.036 ± 0.014	3.673 ± 0.003	2.35 ± 0.08	−0.12 ± 0.07	0.014	1.026 ± 0.008	1.695 ± 0.016
23319	2.033 ± 0.014	3.662 ± 0.003	2.56 ± 0.05	0.03 ± 0.06	0.001	1.056 ± 0.006	1.712 ± 0.013
23526	0.915 ± 0.021	3.687 ± 0.004	2.68 ± 0.13	−0.15 ± 0.04	0.017	1.046 ± 0.012	1.792 ± 0.024
23940	1.093 ± 0.021	3.682 ± 0.004	2.43 ± 0.18	−0.42 ± 0.08	0.002	0.986 ± 0.014	1.652 ± 0.027
26464	1.089 ± 0.012	3.682 ± 0.006	2.85 ± 0.10	0.11 ± 0.14	0.008	1.067 ± 0.008	1.813 ± 0.015
30814	1.310 ± 0.010	3.689 ± 0.006	2.82 ± 0.24	0.04 ± 0.07	0.006	1.015 ± 0.007	1.739 ± 0.014
35369	2.012 ± 0.016	3.692 ± 0.004	2.76 ± 0.21	−0.18 ± 0.02	0.000	1.062 ± 0.008	1.845 ± 0.017
36874	1.118 ± 0.011	3.664 ± 0.004	2.47 ± 0.07	−0.04 ± 0.04	0.002	1.029 ± 0.006	1.669 ± 0.013
39523	1.939 ± 0.016	3.669 ± 0.008	2.56 ± 0.22	0.15 ± 0.20	0.001	1.050 ± 0.007	1.728 ± 0.014
39640	1.251 ± 0.017	3.689 ± 0.003	2.70 ± 0.08	−0.11 ± 0.03	0.006	1.031 ± 0.008	1.769 ± 0.016
39910	1.090 ± 0.008	3.659 ± 0.008	2.39 ± 0.21	0.18 ± 0.09	0.015	1.051 ± 0.006	1.693 ± 0.013
40020	1.012 ± 0.023	3.669 ± 0.008	2.43 ± 0.24	0.09 ± 0.08	0.013	1.050 ± 0.011	1.728 ± 0.023
43899	1.264 ± 0.017	3.658 ± 0.007	2.04 ± 0.24	−0.12 ± 0.08	0.010	1.067 ± 0.007	1.718 ± 0.015
45415	1.080 ± 0.061	3.679 ± 0.003	2.75 ± 0.08	−0.02 ± 0.05	0.015	1.022 ± 0.026	1.715 ± 0.051
46116	1.145 ± 0.031	3.685 ± 0.003	2.48 ± 0.15	−0.38 ± 0.05	0.009	1.008 ± 0.013	1.712 ± 0.027
53629	1.065 ± 0.024	3.647 ± 0.009	2.14 ± 0.15	0.13 ± 0.05	0.017	1.073 ± 0.011	1.687 ± 0.022
54131	1.061 ± 0.021	3.679 ± 0.005	2.72 ± 0.10	−0.10 ± 0.09	0.012	1.006 ± 0.010	1.684 ± 0.020
56160	1.411 ± 0.012	3.646 ± 0.008	2.19 ± 0.10	0.16 ± 0.09	0.010	1.092 ± 0.006	1.720 ± 0.012
60060	0.948 ± 0.010	3.683 ± 0.004	2.58 ± 0.14	−0.11 ± 0.03	0.018	1.038 ± 0.007	1.761 ± 0.014
60341	1.190 ± 0.022	3.665 ± 0.006	2.42 ± 0.26	0.06 ± 0.07	0.010	1.062 ± 0.010	1.737 ± 0.019
62412	0.950 ± 0.014	3.692 ± 0.003	2.76 ± 0.09	0.03 ± 0.03	0.013	1.014 ± 0.008	1.751 ± 0.017
62713	1.446 ± 0.012	3.666 ± 0.004	2.42 ± 0.33	0.09 ± 0.05	0.005	1.015 ± 0.006	1.645 ± 0.013
68312	1.020 ± 0.023	3.704 ± 0.002	2.75 ± 0.05	−0.10 ± 0.01	0.011	0.974 ± 0.012	1.718 ± 0.023
74622	1.020 ± 0.015	3.647 ± 0.005	2.26 ± 0.20	−0.03 ± 0.03	0.013	1.026 ± 0.008	1.593 ± 0.015
75916	1.013 ± 0.021	3.671 ± 0.003	2.47 ± 0.11	0.15 ± 0.05	0.008	1.064 ± 0.010	1.764 ± 0.021
176704	1.317 ± 0.012	3.655 ± 0.004	2.56 ± 0.10	0.36 ± 0.10	0.007	1.049 ± 0.011	1.671 ± 0.021
177873	1.958 ± 0.029	3.667 ± 0.003	2.59 ± 0.10	0.01 ± 0.10	0.002	1.051 ± 0.010	1.722 ± 0.020
188887	1.595 ± 0.011	3.650 ± 0.003	2.45 ± 0.10	0.11 ± 0.10	0.005	1.093 ± 0.005	1.739 ± 0.010
191584	1.024 ± 0.022	3.649 ± 0.008	2.35 ± 0.15	0.22 ± 0.00	0.009	1.047 ± 0.011	1.645 ± 0.021
204381	1.524 ± 0.017	3.703 ± 0.001	2.96 ± 0.10	−0.01 ± 0.10	0.001	0.934 ± 0.008	1.635 ± 0.016
219784	2.117 ± 0.025	3.661 ± 0.003	2.29 ± 0.17	−0.10 ± 0.04	0.001	1.065 ± 0.009	1.725 ± 0.019
220572	1.092 ± 0.013	3.674 ± 0.002	2.64 ± 0.09	0.07 ± 0.01	0.003	1.028 ± 0.007	1.705 ± 0.014
