   r(mas)        I/I0_B        I/I0_V        I/I0_R        I/I0_I        I/I0_H        I/I0_K
0.0000000e+00 1.0000000e+00 1.0000000e+00 1.0000000e+00 1.0000000e+00 1.0000000e+00 1.0000000e+00
4.1021588e-02 1.0000000e+00 1.0000000e+00 1.0000000e+00 1.0000000e+00 1.0000000e+00 1.0000000e+00
5.7998774e-02 9.9897890e-01 9.9917670e-01 9.9931710e-01 9.9948590e-01 9.9973740e-01 9.9978540e-01
7.1015922e-02 9.9791120e-01 9.9833030e-01 9.9866010e-01 9.9900110e-01 9.9957280e-01 9.9950710e-01
8.1981590e-02 9.9686570e-01 9.9754980e-01 9.9804870e-01 9.9848710e-01 9.9919210e-01 9.9932670e-01
9.1635241e-02 9.9577040e-01 9.9679820e-01 9.9730470e-01 9.9788580e-01 9.9893320e-01 9.9910780e-01
1.0035622e-01 9.9470310e-01 9.9594830e-01 9.9659220e-01 9.9735190e-01 9.9870320e-01 9.9891290e-01
1.0836992e-01 9.9362030e-01 9.9508580e-01 9.9591640e-01 9.9684070e-01 9.9843250e-01 9.9856790e-01
1.1582325e-01 9.9253350e-01 9.9414310e-01 9.9525440e-01 9.9628340e-01 9.9821010e-01 9.9842490e-01
1.2281826e-01 9.9147450e-01 9.9340750e-01 9.9464420e-01 9.9579630e-01 9.9796540e-01 9.9828340e-01
1.2942930e-01 9.9041650e-01 9.9266160e-01 9.9398340e-01 9.9525410e-01 9.9759300e-01 9.9794160e-01
1.3571249e-01 9.8933380e-01 9.9172680e-01 9.9327650e-01 9.9466810e-01 9.9738360e-01 9.9788500e-01
1.4171143e-01 9.8825710e-01 9.9095300e-01 9.9258270e-01 9.9418790e-01 9.9717190e-01 9.9747180e-01
1.4746083e-01 9.8718510e-01 9.9016570e-01 9.9189710e-01 9.9362800e-01 9.9686250e-01 9.9734740e-01
1.5298883e-01 9.8613300e-01 9.8936260e-01 9.9129030e-01 9.9308400e-01 9.9660400e-01 9.9707400e-01
1.5831861e-01 9.8507410e-01 9.8857950e-01 9.9057860e-01 9.9254430e-01 9.9631840e-01 9.9679850e-01
1.6346956e-01 9.8400130e-01 9.8779150e-01 9.8993100e-01 9.9205950e-01 9.9615690e-01 9.9673670e-01
1.6845810e-01 9.8294240e-01 9.8697970e-01 9.8929330e-01 9.9152370e-01 9.9580310e-01 9.9641930e-01
1.7329824e-01 9.8187440e-01 9.8610410e-01 9.8857910e-01 9.9100960e-01 9.9551420e-01 9.9618790e-01
1.7800209e-01 9.8079510e-01 9.8523500e-01 9.8788250e-01 9.9048290e-01 9.9534580e-01 9.9594210e-01
1.8258019e-01 9.7974390e-01 9.8446070e-01 9.8718970e-01 9.9000100e-01 9.9500130e-01 9.9580860e-01
1.8704178e-01 9.7868060e-01 9.8364670e-01 9.8659420e-01 9.8952130e-01 9.9476270e-01 9.9547390e-01
1.9139499e-01 9.7760210e-01 9.8286210e-01 9.8596280e-01 9.8885800e-01 9.9454480e-01 9.9525030e-01
1.9564706e-01 9.7651830e-01 9.8204320e-01 9.8523620e-01 9.8828000e-01 9.9419690e-01 9.9508250e-01
1.9980445e-01 9.7548740e-01 9.8124190e-01 9.8449710e-01 9.8770150e-01 9.9404050e-01 9.9493830e-01
2.0387296e-01 9.7440110e-01 9.8041820e-01 9.8383160e-01 9.8717430e-01 9.9369640e-01 9.9460330e-01
2.0785780e-01 9.7333250e-01 9.7960250e-01 9.8320990e-01 9.8669470e-01 9.9340440e-01 9.9440490e-01
2.1176369e-01 9.7227640e-01 9.7875020e-01 9.8261630e-01 9.8621500e-01 9.9320000e-01 9.9426340e-01
2.1559493e-01 9.7121830e-01 9.7791540e-01 9.8189700e-01 9.8570090e-01 9.9293030e-01 9.9392570e-01
2.1935543e-01 9.7012500e-01 9.7704210e-01 9.8113140e-01 9.8513440e-01 9.9267530e-01 9.9381070e-01
2.2304876e-01 9.6907620e-01 9.7629740e-01 9.8050760e-01 9.8465470e-01 9.9243350e-01 9.9353520e-01
2.2667821e-01 9.6801990e-01 9.7556910e-01 9.7989640e-01 9.8407640e-01 9.9205270e-01 9.9337680e-01
