Star,LD,σLD,V,σV,K,E(B-V),Sv,σSv,RA_SIMBAD,DEC_SIMBAD,RA_Gaia,DEC_Gaia,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,parallax,parallax_error
HD 360,0.906,0.014,5.986,0.005,3.653,0.009,5.744,0.036,2.07305179489,-8.824111623329998,2.072898155266828,-8.824266634446369,5.7160897,6.227563,5.044772,9.011463712285309,0.04313753
HD 3750,1.003,0.019,6.004,0.005,3.485,0.002,6.004,0.043,9.96645883024,-44.79629201011001,9.966728975879198,-44.796215395211355,5.6986227,6.2520304,4.9955897,10.362763337159958,0.034351017
HD 4211,1.1,0.009,5.877,0.028,3.295,0.004,6.072,0.035,11.05041263631,-38.42168172442,11.051805707876756,-38.42115267075348,5.5775566,6.1533794,4.8594604,9.85296971464307,0.045815695
HD 5722,0.995,0.018,5.618,0.012,3.381,0.01,5.576,0.042,14.682783552170001,-11.37997519234,14.68263440564479,-11.380039485011364,5.3584676,5.844627,4.7112274,9.750091531891513,0.0666387
HD 8651,1.228,0.011,5.418,0.006,3.019,0.002,5.858,0.023,21.169943891490004,-41.492545635540004,21.17004353728751,-41.492703561206255,5.1293077,5.6539087,4.4506063,12.433286972921042,0.052200582
HD 9362,2.301,0.017,3.943,0.006,1.638,0.0,5.753,0.02,22.81293372607833,-49.07270281348056,22.81387226522309,-49.07201823342556,3.6708763,4.2118516,3.0015564,22.793478789309944,0.106040254
HD 10142,0.964,0.004,5.938,0.009,3.557,0.007,5.837,0.017,24.614516258279995,-36.52825018887,24.61443907212411,-36.528792119124724,5.659163,6.1767445,4.9770207,9.74980828882411,0.029173203
HD 11977,1.528,0.01,4.686,0.011,2.486,0.002,5.6,0.021,28.733881019829997,-67.64730317084,28.73476833435093,-67.64697694696969,4.4194345,4.9081807,3.7848144,14.744372637933713,0.08780799
HD 12438,1.091,0.015,5.344,0.007,3.176,0.004,5.521,0.033,30.31134527755,-30.001830353680003,30.310783367707028,-30.00231368773173,5.09506,5.559991,4.4721527,11.273723172751524,0.065304264
HD 13468,0.886,0.009,5.934,0.013,3.666,0.009,5.643,0.028,32.89931236669,-1.8254269234000002,32.899262693152835,-1.8255687974912878,5.6801023,6.164784,5.0256944,8.61727147702083,0.039598502
HD 15220,1.185,0.015,5.881,0.006,3.199,0.007,6.228,0.03,36.646738519950006,-20.04261697141,36.64714310705776,-20.04216506805613,5.536921,6.1423335,4.7952914,11.253643677919605,0.049657617
